address_id,customer_id,address_line,city,state,postal_code,country,address_type
1,1,"H.No. 433, Chaudry Street",Gudivada,Maharashtra,013389,India,Home
2,2,"38/63, Mall Chowk",Kozhikode,Tamil Nadu,542351,India,Home
3,3,"15, Lalla Path",Jaunpur,Nagaland,618495,India,Home
4,3,"10/341, Chaudhuri Ganj",Alwar,Manipur,255341,India,Office
5,4,"32/76, Kanda Road",Pimpri-Chinchwad,Haryana,564139,India,Home
6,5,"767
Lanka Street",Shahjahanpur,Telangana,969653,India,Home
7,6,"71/01, Dutta Street",Kavali,Assam,697848,India,Home
8,7,"18/451, Saran Road",Malda,Andhra Pradesh,828148,India,Home
9,8,"528, Acharya Circle",Unnao,Andhra Pradesh,543039,India,Home
10,9,"H.No. 718, Dave Street",Jamalpur,Goa,896383,India,Office
11,10,"57
Seth Circle",Shahjahanpur,Haryana,509839,India,Office
12,11,"H.No. 103, Balay Zila",Madurai,Mizoram,473829,India,Home
13,12,"763
Chatterjee Zila",Raichur,Maharashtra,701065,India,Other
14,13,"338, Dey Chowk",South Dumdum,Himachal Pradesh,317810,India,Home
15,14,"H.No. 326, Srivastava Chowk",Rewa,Arunachal Pradesh,606474,India,Office
16,15,"87/234
Bhardwaj Ganj",Satara,Arunachal Pradesh,978820,India,Office
17,16,"191, Raval Ganj",Jehanabad,Haryana,916998,India,Home
18,16,"H.No. 35
Lanka Ganj",Mira-Bhayandar,Sikkim,751079,India,Other
19,17,"H.No. 838, Deo Road",Coimbatore,Haryana,427849,India,Home
20,18,"84/124, Chhabra Zila",Darbhanga,Jharkhand,534874,India,Home
21,18,"H.No. 640, Nath Nagar",Firozabad,Goa,868011,India,Office
22,19,"05/98, Sani Street",Kalyan-Dombivli,Jharkhand,053315,India,Home
23,20,"23/22
Bakshi Marg",Thoothukudi,Uttar Pradesh,342160,India,Home
24,21,"375
Kari Road",Nagpur,Sikkim,654145,India,Home
25,22,"85/014
Lanka Street",Moradabad,Punjab,556981,India,Home
26,23,"34/06
Venkatesh Nagar",Bharatpur,Maharashtra,595148,India,Home
27,24,"65/648
Handa Street",Nadiad,Sikkim,994680,India,Home
28,25,"H.No. 36
Nagy",Mango,Manipur,872148,India,Home
29,26,"H.No. 343
Din Ganj",Ranchi,Haryana,917693,India,Home
30,26,"63
Ahluwalia Street",Khandwa,Haryana,870831,India,Home
31,27,"788
Nadig",Pudukkottai,Uttarakhand,872774,India,Home
32,28,"48/734, Brahmbhatt Chowk",Noida,Himachal Pradesh,581223,India,Home
33,29,"23/166
Shukla Path",Ghaziabad,Gujarat,690967,India,Home
34,29,"H.No. 46, Yohannan Marg",Morbi,Haryana,670656,India,Home
35,29,"29, Bala Circle",Guntakal,Odisha,162720,India,Home
36,30,"53
Narain Chowk",Nadiad,Himachal Pradesh,417080,India,Office
37,30,"100
Iyengar Ganj",Jamnagar,Haryana,719374,India,Home
38,31,"991
Mukhopadhyay Street",Adoni,Andhra Pradesh,966319,India,Home
39,32,"H.No. 491, Barman",Katihar,Maharashtra,185067,India,Home
40,33,"57, Saran Street",Nagaon,Rajasthan,987769,India,Office
41,33,"H.No. 31
Seshadri Road",Madhyamgram,Odisha,507527,India,Home
42,34,"H.No. 45, Majumdar Road",Hazaribagh,Gujarat,367837,India,Home
43,35,"01
Kant Road",Latur,Jharkhand,788568,India,Home
44,35,"H.No. 74
Krishnamurthy Road",Jamshedpur,Telangana,518233,India,Home
45,36,"H.No. 98
Mandal",Jammu,Jharkhand,524082,India,Home
46,37,"H.No. 084
Swaminathan Street",Ahmedabad,Odisha,777520,India,Home
47,38,"11
Swamy Marg",Gangtok,Rajasthan,229413,India,Home
48,38,"69/99, Virk Ganj",Hospet,Manipur,964990,India,Home
49,39,"341, Khatri Street",Suryapet,Assam,067974,India,Home
50,39,"447, Kaur Zila",Giridih,Sikkim,618324,India,Home
51,39,"H.No. 024, Mani",Amravati,Manipur,648877,India,Home
52,40,"06/59, Bal Road",Berhampur,Sikkim,490278,India,Home
53,41,"H.No. 29
Swamy Marg",Nandyal,Kerala,551256,India,Home
54,41,"H.No. 68
Sha Nagar",Satna,Himachal Pradesh,168087,India,Home
55,42,"H.No. 385
Tara",Faridabad,Gujarat,824771,India,Other
56,43,"93/248, Reddy Nagar",Kamarhati,Uttarakhand,712748,India,Other
57,44,"77
Shan Ganj",Yamunanagar,Gujarat,146584,India,Home
58,44,"H.No. 49, Suri",Amroha,Nagaland,558867,India,Home
59,45,"396
Roy Ganj",Ratlam,Telangana,662702,India,Home
60,46,"H.No. 718
Aurora Chowk",Alappuzha,West Bengal,174596,India,Home
61,47,"H.No. 86, Sura Path",Tadipatri,Assam,431611,India,Home
62,48,"400
Bhalla Path",Secunderabad,Kerala,238692,India,Other
63,49,"196, Khosla",Ballia,Chhattisgarh,747407,India,Home
64,49,"82/175
Mistry",Chandrapur,Manipur,367136,India,Home
65,50,"44/06
Anand Road",Medininagar,Telangana,439533,India,Office
66,51,"21/047
Patla Nagar",Mysore,Jharkhand,623285,India,Home
67,51,"474
Contractor Path",Aurangabad,Chhattisgarh,685160,India,Home
68,52,"17/54
Raj",Moradabad,Sikkim,709859,India,Home
69,53,"17/461, Bath Street",Avadi,Meghalaya,138267,India,Home
70,53,"86/926
Suri Zila",Parbhani,Arunachal Pradesh,377351,India,Office
71,54,"50/64
Das Ganj",Mysore,Sikkim,900532,India,Home
72,55,"H.No. 839, Kaul Ganj",Siliguri,Uttar Pradesh,422842,India,Home
73,56,"02/053, Naik",Akola,Himachal Pradesh,268117,India,Office
74,56,"H.No. 89
Seth Zila",Srikakulam,Arunachal Pradesh,700766,India,Office
75,57,"71, Nagy Zila",Amritsar,Chhattisgarh,998569,India,Home
76,58,"89
Chaudhary Marg",Suryapet,Telangana,673657,India,Office
77,58,"15
Munshi Marg",Dindigul,Chhattisgarh,111161,India,Home
78,59,"809
Narayan Circle",Bulandshahr,Kerala,049451,India,Home
79,60,"731, Pillai Path",Alwar,Odisha,689980,India,Office
80,60,"H.No. 244
Panchal Path",Bokaro,West Bengal,961201,India,Home
81,61,"67, Dugar Path",Bijapur,Telangana,991022,India,Home
82,62,"14/767, Sathe",Darbhanga,Gujarat,561497,India,Office
83,63,"H.No. 369
Amble Nagar",Barasat,Gujarat,445107,India,Home
84,64,"268
Tella Ganj",Madurai,Madhya Pradesh,607159,India,Home
85,65,"66/41
Bail Marg",Tirunelveli,Uttar Pradesh,516136,India,Home
86,66,"16/45
Nath Ganj",Solapur,Mizoram,883552,India,Home
87,66,"H.No. 243, Dua Street",Belgaum,Tripura,799799,India,Home
88,66,"52/717
Mitter Chowk",Gudivada,Arunachal Pradesh,814770,India,Home
89,67,"H.No. 41, Tripathi Zila",Surendranagar Dudhrej,Odisha,793597,India,Home
90,68,"H.No. 715, Thaman Zila",Thane,Haryana,788925,India,Home
91,69,"H.No. 66
Ben Path",Amritsar,Karnataka,864492,India,Home
92,70,"H.No. 925
Ramanathan Road",Hindupur,Tamil Nadu,486528,India,Home
93,71,"68/505, Gole Road",Mau,Tripura,332214,India,Office
94,72,"88/05, Deep",Jamnagar,Goa,927065,India,Home
95,72,"94, Kaur Chowk",Tirupati,Uttar Pradesh,359774,India,Home
96,73,"86/23
Devi",Faridabad,Rajasthan,581814,India,Home
97,74,"478, Sarkar Street",Korba,Uttarakhand,506068,India,Office
98,75,"615
Bala Ganj",Navi Mumbai,Uttarakhand,220472,India,Home
99,76,"90
Bahl Zila",Thrissur,Uttarakhand,898614,India,Office
100,76,"H.No. 10, Saini Ganj",Rajkot,Bihar,980893,India,Home
101,77,"H.No. 60, Pandit",Aurangabad,Maharashtra,185188,India,Home
102,78,"70, Prakash Marg",Pune,Kerala,531952,India,Home
103,79,"H.No. 85, Shetty Street",South Dumdum,Uttar Pradesh,170430,India,Home
104,79,"H.No. 548, Solanki Marg",Vadodara,Tripura,450541,India,Other
105,80,"67
Nori Marg",Mehsana,Tamil Nadu,584161,India,Home
106,81,"28/45
Buch Zila",Sagar,Jharkhand,962757,India,Office
107,82,"59/640, Ravi Zila",Anand,Uttar Pradesh,029702,India,Home
108,83,"556, Bali",Hospet,Kerala,719285,India,Home
109,84,"H.No. 43
Bal Zila",Panchkula,Mizoram,814473,India,Home
110,85,"73/121
Gera Chowk",Chandigarh,Uttar Pradesh,518844,India,Home
111,85,"25/831, Dewan Ganj",Kumbakonam,Andhra Pradesh,895782,India,Office
112,86,"H.No. 467, Roy Circle",Ramgarh,Assam,517785,India,Home
113,87,"92/26, Bhakta Circle",Kadapa,Chhattisgarh,225358,India,Office
114,87,"H.No. 438
Dass Road",Srikakulam,Nagaland,829922,India,Other
115,87,"00/10
Lanka",Aurangabad,Maharashtra,784473,India,Office
116,88,"H.No. 71
Dugar Nagar",Vijayanagaram,Meghalaya,359255,India,Home
117,88,"25
Cherian Circle",New Delhi,Manipur,473210,India,Home
118,89,"96
Dutta Ganj",Gangtok,Telangana,327877,India,Home
119,90,"01
Tiwari Marg",New Delhi,Gujarat,004797,India,Home
120,91,"01/62
Pau Road",Ambarnath,Arunachal Pradesh,098358,India,Home
121,91,"H.No. 687
Mammen Circle",Warangal,Bihar,558523,India,Office
122,91,"00/02
Som Path",Jalgaon,Punjab,595269,India,Home
123,92,"58/88
Mistry Chowk",Pune,Kerala,169409,India,Other
124,93,"H.No. 99
Behl Ganj",Tirunelveli,Mizoram,230913,India,Home
125,93,"56, Sachar Street",Bulandshahr,Mizoram,028385,India,Home
126,93,"65/27
Oommen Circle",Bilaspur,Punjab,334843,India,Home
127,94,"H.No. 37
Srinivasan Path",Karaikudi,Uttar Pradesh,419866,India,Other
128,95,"404
Pal Zila",Bardhaman,Telangana,338484,India,Home
129,96,"H.No. 993, Bedi Ganj",Muzaffarpur,Arunachal Pradesh,657120,India,Home
130,96,"77, Mani Ganj",Baranagar,Rajasthan,193802,India,Home
131,97,"067
Mann Street",Bangalore,Jharkhand,547887,India,Office
132,98,"74/31, Gaba Path",Bardhaman,Tamil Nadu,054932,India,Other
133,99,"85
Rattan Zila",Udaipur,Chhattisgarh,530463,India,Home
134,100,"H.No. 54
Apte",Karimnagar,Tamil Nadu,017426,India,Home
135,101,"14/593
Deol Ganj",Jamnagar,Manipur,687833,India,Home
136,102,"78/51, Choudhury",Motihari,Mizoram,982258,India,Home
137,102,"H.No. 397
Uppal Zila",Pimpri-Chinchwad,Manipur,867908,India,Home
138,103,"40/640
Bora Ganj",Bhusawal,Kerala,801704,India,Home
139,104,"265
Sen Marg",Gandhinagar,Assam,512868,India,Home
140,105,"30/047, Samra Circle",Berhampur,Haryana,524310,India,Home
141,105,"03/31
Bandi Zila",Khora ,Sikkim,306738,India,Home
142,106,"H.No. 284, Nagar Ganj",Patiala,Jharkhand,836440,India,Home
143,107,"68/705, Vohra Marg",Erode,Maharashtra,462873,India,Home
144,108,"H.No. 27, Sachar Nagar",Proddatur,Mizoram,634351,India,Office
145,109,"H.No. 18
Behl Ganj",Burhanpur,Sikkim,139837,India,Home
146,110,"H.No. 40, Gupta Ganj",Nangloi Jat,Haryana,638546,India,Other
147,110,"54/45
Tank Circle",Navi Mumbai,Uttar Pradesh,535560,India,Home
148,110,"20/489, Sahni",Jamnagar,Gujarat,369378,India,Home
149,111,"H.No. 77
Ganguly Chowk",Gulbarga,Chhattisgarh,280801,India,Office
150,112,"H.No. 623, Dora Zila",Bellary,Mizoram,509977,India,Office
151,112,"H.No. 886, Badal Nagar",Jorhat,Jharkhand,862118,India,Home
152,113,"398, Pandya Road",Sikar,Assam,679334,India,Office
153,114,"01/666, Soni Circle",Bangalore,Tamil Nadu,176591,India,Home
154,114,"397, Batra Road",Parbhani,Nagaland,250392,India,Other
155,115,"H.No. 429
Ramachandran Ganj",Yamunanagar,Tripura,185016,India,Home
156,116,"H.No. 599, Ranganathan",Ludhiana,Rajasthan,773586,India,Home
157,116,"961
Merchant",Srinagar,Assam,262655,India,Home
158,117,"H.No. 047, Madan Path",Mira-Bhayandar,Assam,678886,India,Home
159,117,"H.No. 158, Nair Zila",Ahmedabad,Jharkhand,618398,India,Home
160,118,"62/244, Tailor Road",Rajkot,Goa,464715,India,Home
161,119,"799
Shankar Ganj",Bhavnagar,Jharkhand,659657,India,Home
162,120,"92
Nagi Road",Nangloi Jat,Karnataka,654793,India,Home
163,120,"46
Comar Path",Guntakal,Nagaland,807374,India,Home
164,121,"72, Khurana Road",Jamnagar,Tamil Nadu,617979,India,Home
165,122,"86/80
Yadav Path",Moradabad,Tripura,529096,India,Office
166,122,"10
Kuruvilla Zila",Sasaram,Telangana,756798,India,Home
167,123,"H.No. 07, Merchant Zila",Guwahati,Bihar,545738,India,Home
168,124,"H.No. 71
Sethi Chowk",Jabalpur,Jharkhand,105123,India,Office
169,125,"25/86, Kata Chowk",Udaipur,Goa,609379,India,Home
170,126,"03
Mallick Ganj",Gangtok,Bihar,553714,India,Home
171,126,"59/69
Comar Marg",Nagercoil,West Bengal,924991,India,Home
172,127,"H.No. 13, Dada Road",Dindigul,Tamil Nadu,866929,India,Home
173,128,"27
Ghose Circle",Unnao,Jharkhand,257905,India,Office
174,128,"23, Tiwari Marg",Alappuzha,Sikkim,677219,India,Home
175,129,"404, Yogi Ganj",Gulbarga,Tripura,978819,India,Home
176,129,"H.No. 85, Barman Circle",Bongaigaon,Gujarat,134074,India,Home
177,130,"H.No. 713
Panchal Ganj",Dehradun,Punjab,330958,India,Home
178,131,"82/54
Loke Road",Bhavnagar,Tripura,042232,India,Office
179,131,"672
Luthra",Gandhinagar,Manipur,168457,India,Office
180,132,"H.No. 90
Shanker Zila",Rajkot,Uttar Pradesh,363745,India,Home
181,132,"H.No. 89
Sundaram Street",Nashik,Arunachal Pradesh,701277,India,Home
182,133,"32, Dutt Road",Tiruchirappalli,Rajasthan,415206,India,Office
183,134,"36/110
Sood Ganj",Mira-Bhayandar,Odisha,870051,India,Home
184,134,"27/136
Chaudry Zila",Satara,Kerala,262218,India,Home
185,135,"27/53, Sabharwal Street",Bellary,Assam,219656,India,Office
186,136,"341
Mane Ganj",Barasat,Gujarat,640376,India,Other
187,136,"791, Arora Circle",Ratlam,Chhattisgarh,965827,India,Office
188,137,"H.No. 910, Kale Road",Allahabad,Uttar Pradesh,848666,India,Home
189,137,"88/924, Mukherjee Zila",Sasaram,Gujarat,856914,India,Home
190,138,"30/316
Setty Zila",Tirupati,Sikkim,102027,India,Office
191,139,"84/25
Luthra Street",Ludhiana,Karnataka,481491,India,Office
192,139,"85
Tata Nagar",Arrah,Goa,191380,India,Office
