customer_id,first_name,last_name,email,phone,join_date,is_active
1,Isaac,Bakshi,yash32@example.net,9181960013,2023-07-17,True
2,Yashasvi,Bala,onikannan@example.com,9940265423,2024-06-04,True
3,Harsh,Chanda,wchatterjee@example.com,9940781618,2024-01-21,False
4,Janaki,Handa,bathvedant@example.com,9131647525,2024-08-01,True
5,Shaurya,Loke,gargyash@example.org,9764835030,2024-03-31,True
6,Nandini,Loyal,kakardivya@example.org,9767242388,2023-10-19,True
7,Priya,Rastogi,theodore28@example.com,9101226916,2024-10-22,True
8,Upadhriti,Wadhwa,advay18@example.com,9514627048,2023-01-31,True
9,Yashica,Cherian,yashica93@example.org,9528809570,2022-07-07,False
10,Janani,Mohanty,dalbirkhosla@example.net,9117182278,2022-12-20,True
11,Alka,Wable,ikakar@example.net,9346578713,2023-06-23,True
12,Devansh,Nigam,karpethomas@example.org,9103105183,2023-12-07,True
13,Vedika,Kala,urvashikibe@example.com,9631165667,2022-01-09,True
14,Guneet,Bhat,znori@example.org,9333872624,2025-07-01,True
15,Zaid,Borra,dchaudhari@example.net,9801326773,2024-12-21,True
16,Daniel,Gala,yagate@example.com,9746872343,2022-01-22,True
17,Darsh,Murthy,bedivansha@example.net,9820812191,2023-07-25,False
18,Netra,Dar,balveerbumb@example.com,9998543534,2024-12-05,True
19,Karan,Mital,wmutti@example.org,9079911838,2023-10-26,False
20,Kevin,Palla,kondakala@example.com,9278498084,2022-06-11,False
21,Krish,Lalla,chhabranachiket@example.com,9493534874,2021-12-29,True
22,George,Sampath,chaitanya05@example.org,9427868011,2022-10-31,True
23,Balendra,Pingle,qushidatta@example.org,9450533158,2025-01-07,False
24,Mohammed,Khalsa,petersachar@example.org,9256342160,2025-07-26,False
25,Tristan,Iyengar,tpalla@example.org,9303654145,2025-11-23,False
26,Mugdha,Yadav,ayaan14@example.org,9940196556,2025-11-29,True
27,Jack,Rajan,aachalbasu@example.net,9608835615,2024-03-26,True
28,Jeet,Mital,nilima56@example.net,9482366299,2024-02-15,False
29,Nidra,Acharya,bhavini36@example.net,9957773872,2022-04-14,True
30,Bhanumati,Varma,girik34@example.org,9320037917,2025-02-01,True
31,Robert,Rajagopalan,pratta@example.org,9016328708,2023-09-07,False
32,Jairaj,Shan,ucchalwali@example.net,9957986872,2025-08-07,True
33,Shivani,Lad,aradhanaverma@example.com,9347143455,2026-02-27,False
34,Faris,Devi,vihaanrajagopal@example.net,9231665876,2022-02-03,False
35,Samuel,Salvi,wbahri@example.net,9670546688,2023-06-10,False
36,Vinaya,Kanda,rajata70@example.com,9562729806,2026-05-13,True
37,Avi,Chacko,ddeshmukh@example.org,9046537556,2023-12-06,False
38,Oviya,Krishnan,singhalanirudh@example.net,9805310033,2021-09-26,True
39,Michael,Khare,urvashicontractor@example.net,9374529912,2024-03-17,False
40,Hritik,Bal,keya63@example.org,9931491905,2026-02-04,True
41,Priya,Prabhakar,toorharita@example.org,9671657262,2026-01-01,False
42,Anamika,Yohannan,bshroff@example.net,9945314737,2026-05-30,False
43,Ladli,Nayar,talwarekta@example.org,9735454948,2021-08-25,True
44,Zansi,Halder,khurananiharika@example.com,9837770143,2025-01-01,True
45,Yagnesh,Mohan,urvashi88@example.com,9685574443,2022-08-03,True
46,Reyansh,Mutti,wasonqasim@example.org,9374989413,2024-01-31,True
47,Utkarsh,Patel,chasmumatwal@example.net,9824008427,2022-06-08,False
